time_s,time_h,radius_m,max_C,max_r_m,C_center,C_surface,mean_C,loss_cumulative,water_balance,valid_fixed_positions,interval_mean_C,interval_loss,steps,iterations,rejections,min_dt_s,max_dt_s,worst_scaled_residual,damped_iterations
73860.0,20.516666666666666,0.012089666666666669,0.3439249994890203,0.0,0.3439249994890203,0.07693233747347655,0.24144225314287826,2.308557746856356,-7.65609797781508e-13,61,0.24144225314287826,0.00021410473368173316,1920.0,5760.0,0.0,0.03125,0.03125,0.00011912181522058452,0.0
73920.0,20.533333333333335,0.012089333333333334,0.3435722678023441,0.0,0.3435722678023441,0.07687026134291293,0.24122863623650395,2.3087713637627303,-7.65609797781508e-13,61,0.24122863623650395,0.00021361690637440285,1920.0,5760.0,0.0,0.03125,0.03125,0.00011920115034205409,0.0
73980.0,20.55,0.012089,0.3432203722925806,0.0,0.3432203722925806,0.07680838564708545,0.24101550558950294,2.308984494409731,-7.65609797781508e-13,61,0.24101550558950294,0.00021313064700090507,1920.0,5760.0,0.0,0.03125,0.03125,0.00011927742901751175,0.0
74040.0,20.566666666666666,0.012088666666666666,0.34286931025787837,0.0,0.34286931025787837,0.07674670958660171,0.24080285964017484,2.309197140359059,-7.65609797781508e-13,61,0.24080285964017484,0.00021264594932829124,1920.0,5760.0,0.0,0.03125,0.03125,0.00011936101100989806,0.0
74100.0,20.583333333333332,0.012088333333333335,0.34251907900684764,0.0,0.34251907900684764,0.07668523236570991,0.24059069683302287,2.3094093031662113,-7.65609797781508e-13,61,0.24059069683302287,0.00021216280715190427,1920.0,5760.0,0.0,0.03125,0.03125,0.00011945060070912173,0.0
74160.0,20.6,0.012088000000000002,0.3421696758585132,0.0,0.3421696758585132,0.07662395319228131,0.2403790156187281,2.3096209843805067,-7.651657085716579e-13,61,0.2403790156187281,0.00021168121429524672,1920.0,5760.0,0.0,0.03125,0.03125,0.00011952019369338901,0.0
74220.0,20.616666666666667,0.012087666666666668,0.34182109814227046,0.0,0.34182109814227046,0.0765628712777935,0.24016781445411794,2.3098321855451167,-7.651657085716579e-13,61,0.24016781445411794,0.00021120116460984613,1920.0,5760.0,0.0,0.03125,0.03125,0.00011960532503540117,0.0
74280.0,20.633333333333333,0.012087333333333334,0.341473343197841,0.0,0.341473343197841,0.07650198583731312,0.23995709180214314,2.310042908197092,-7.647216193618078e-13,61,0.23995709180214314,0.00021072265197512438,1920.0,5760.0,0.0,0.03125,0.03125,0.00011967145344979102,0.0
74340.0,20.65,0.012087000000000002,0.3411264083752281,0.0,0.3411264083752281,0.07644129608947882,0.2397468461318448,2.3102531538673903,-7.647216193618078e-13,61,0.2397468461318448,0.00021024567029826756,1920.0,5760.0,0.0,0.03125,0.03125,0.00011975025056110496,0.0
74400.0,20.666666666666668,0.012086666666666667,0.34078029103467294,0.0,0.34078029103467294,0.07638080125648429,0.2395370759183311,2.3104629240809045,-7.642775301519578e-13,61,0.2395370759183311,0.00020977021351409165,1920.0,5760.0,0.0,0.03125,0.03125,0.0001198228997656531,0.0
74460.0,20.683333333333334,0.012086333333333333,0.3404349885466104,0.0,0.3404349885466104,0.07632050056406142,0.23932777964274615,2.3106722203564893,-7.642775301519578e-13,61,0.23932777964274615,0.00020929627558491324,1920.0,5760.0,0.0,0.03125,0.03125,0.00011989477218683699,0.0
74520.0,20.7,0.012086000000000001,0.3400904982916246,0.0,0.3400904982916246,0.07626039324146347,0.23911895579224546,2.31088104420699,-7.647216193618078e-13,61,0.23911895579224546,0.00020882385050042022,1920.0,5760.0,0.0,0.03125,0.03125,0.00011996818175164951,0.0
74580.0,20.716666666666665,0.012085666666666666,0.33974681766040715,0.0,0.33974681766040715,0.0762004785214481,0.23891060285996815,2.311089397139267,-7.642775301519578e-13,61,0.23891060285996815,0.00020835293227754046,1920.0,5760.0,0.0,0.03125,0.03125,0.00012003572257664477,0.0
74640.0,20.733333333333334,0.012085333333333335,0.3394039440537132,0.0,0.3394039440537132,0.07614075564026089,0.23870271934500825,2.3112972806542276,-7.638334409421077e-13,61,0.23870271934500825,0.00020788351496031385,1920.0,5760.0,0.0,0.03125,0.03125,0.00012009676708476258,0.0
74700.0,20.75,0.012085,0.33906187488231554,0.0,0.33906187488231554,0.07608122383761862,0.23849530375238814,2.3115046962468475,-7.642775301519578e-13,61,0.23849530375238814,0.0002074155926197629,1920.0,5760.0,0.0,0.03125,0.03125,0.0001201617891084086,0.0
74760.0,20.766666666666666,0.012084666666666667,0.3387206075669662,0.0,0.3387206075669662,0.0760218823566927,0.23828835459303482,2.311711645406201,-7.638334409421077e-13,61,0.23828835459303482,0.0002069491593537642,1920.0,5760.0,0.0,0.03125,0.03125,0.00012023031418476084,0.0
74820.0,20.783333333333335,0.012084333333333334,0.33838013953835044,0.0,0.33838013953835044,0.07596273044409253,0.2380818703837477,2.311918129615488,-7.642775301519578e-13,61,0.2380818703837477,0.00020648420928692207,1920.0,5760.0,0.0,0.03125,0.03125,0.00012028912592118704,0.0
74880.0,20.8,0.012084000000000001,0.3380404682370449,0.0,0.3380404682370449,0.07590376734984909,0.23787584964717792,2.3121241503520586,-7.633893517322576e-13,61,0.23787584964717792,0.00020602073657043803,1920.0,5760.0,0.0,0.03125,0.03125,0.00012035827666554233,0.0
74940.0,20.816666666666666,0.012083666666666668,0.337701591113476,0.0,0.337701591113476,0.07584499232739884,0.2376702909117953,2.312329709087441,-7.638334409421077e-13,61,0.2376702909117953,0.0002055587353819892,1920.0,5760.0,0.0,0.03125,0.03125,0.00012040981586389549,0.0
75000.0,20.833333333333332,0.012083333333333333,0.337363505627877,0.0,0.337363505627877,0.07578640463356703,0.23746519271186992,2.3125348072873666,-7.633893517322576e-13,61,0.23746519271186992,0.00020509819992559598,1920.0,5760.0,0.0,0.03125,0.03125,0.0001204754258563796,0.0
75060.0,20.85,0.012083000000000002,0.337026209250245,0.0,0.337026209250245,0.07572800352855161,0.23726055358743864,2.3127394464117983,-7.629452625224076e-13,61,0.23726055358743864,0.0002046391244315025,1920.0,5760.0,0.0,0.03125,0.03125,0.0001205200013949236,0.0
75120.0,20.866666666666667,0.012082666666666669,0.33668969946030197,0.0,0.33668969946030197,0.07566978827590697,0.23705637208428293,2.3129436279149544,-7.625011733125575e-13,61,0.23705637208428293,0.00020418150315604613,1920.0,5760.0,0.0,0.03125,0.03125,0.00012057155285501651,0.0
75180.0,20.883333333333333,0.012082333333333334,0.33635397374745013,0.0,0.33635397374745013,0.0756117581425279,0.23685264675390097,2.313147353245336,-7.629452625224076e-13,61,0.23685264675390097,0.00020372533038153537,1920.0,5760.0,0.0,0.03125,0.03125,0.00012063716530065938,0.0
75240.0,20.9,0.012082,0.33601902961073193,0.0,0.33601902961073193,0.0755539123986335,0.23664937615348514,2.313350623845752,-7.625011733125575e-13,61,0.23664937615348514,0.00020327060041612534,1920.0,5760.0,0.0,0.03125,0.03125,0.00012069353664380996,0.0
75300.0,20.916666666666668,0.01208166666666667,0.33568486455878827,0.0,0.33568486455878827,0.07549625031775115,0.23644655884589183,2.313553441153346,-7.620570841027074e-13,61,0.23644655884589183,0.00020281730759369294,1920.0,5760.0,0.0,0.03125,0.03125,0.00012074216711735567,0.0
75360.0,20.933333333333334,0.012081333333333335,0.3353514761098177,0.0,0.3353514761098177,0.07543877117670066,0.2362441933996177,2.3137558065996195,-7.625011733125575e-13,61,0.2362441933996177,0.0002023654462737156,1920.0,5760.0,0.0,0.03125,0.03125,0.00012077999950660934,0.0
75420.0,20.95,0.012081000000000001,0.3350188617915357,0.0,0.3350188617915357,0.07538147425557831,0.23604227838877662,2.3139577216104605,-7.625011733125575e-13,61,0.23604227838877662,0.00020191501084114528,1920.0,5760.0,0.0,0.03125,0.03125,0.00012084331172554599,0.0
75480.0,20.966666666666665,0.012080666666666667,0.3346870191411331,0.0,0.3346870191411331,0.0753243588377412,0.23584081239307073,2.3141591876061667,-7.625011733125575e-13,61,0.23584081239307073,0.0002014659957062906,1920.0,5760.0,0.0,0.03125,0.03125,0.00012088564358316234,0.0
75540.0,20.983333333333334,0.012080333333333332,0.33435594570523597,0.0,0.33435594570523597,0.07526742420979156,0.23563979399776558,2.314360206001471,-7.629452625224076e-13,61,0.23563979399776558,0.0002010183953046921,1920.0,5760.0,0.0,0.03125,0.03125,0.00012093635953393407,0.0
75600.0,21.0,0.01208,0.3340256390398666,0.0,0.3340256390398666,0.07521066966156073,0.23543922179366894,2.314560778205568,-7.629452625224076e-13,61,0.23543922179366894,0.00020057220409700228,1920.0,5760.0,0.0,0.03125,0.03125,0.00012097404428923078,0.0
75660.0,21.016666666666666,0.012079666666666667,0.3336960967104,0.0,0.3336960967104,0.07515409448609416,0.23523909437710006,2.314760905622137,-7.629452625224076e-13,61,0.23523909437710006,0.0002001274165688629,1920.0,5760.0,0.0,0.03125,0.03125,0.00012102017207379913,0.0
