time_s,mean_C,loss_per_initial_dry_mass,steps,iterations,rejections,min_dt,max_dt,max_scaled_residual,damped_iterations,water_balance_residual
5.563000000000000000e+03,1.851865999136500740e+00,1.031503966262253390e-04,1.930000000000000000e+02,3.850000000000000000e+02,0.000000000000000000e+00,5.820766091346740723e-11,5.208333333333333044e-03,1.630012100681101984e-05,0.000000000000000000e+00,-8.166800569142651511e-13
5.564000000000000000e+03,1.851762853652137331e+00,1.031454843661089917e-04,1.930000000000000000e+02,3.850000000000000000e+02,0.000000000000000000e+00,5.820766091346740723e-11,5.208333333333333044e-03,1.674146044510393445e-05,0.000000000000000000e+00,-8.140155216551647754e-13
5.565000000000000000e+03,1.851659713080517689e+00,1.031405716164959769e-04,1.930000000000000000e+02,3.850000000000000000e+02,0.000000000000000000e+00,5.820766091346740723e-11,5.208333333333333044e-03,1.642900049424297061e-05,0.000000000000000000e+00,-8.171241461241152138e-13
5.566000000000000000e+03,1.851556577422135419e+00,1.031356583820293497e-04,1.930000000000000000e+02,3.850000000000000000e+02,0.000000000000000000e+00,5.820766091346740723e-11,5.208333333333333044e-03,1.617457147863917888e-05,0.000000000000000000e+00,-8.171241461241152138e-13
5.567000000000000000e+03,1.851453446677467030e+00,1.031307446672125473e-04,1.930000000000000000e+02,3.850000000000000000e+02,0.000000000000000000e+00,5.820766091346740723e-11,5.208333333333333044e-03,1.690948029524750286e-05,0.000000000000000000e+00,-8.184564137536654016e-13
5.568000000000000000e+03,1.851350320846993913e+00,1.031258304764177502e-04,1.930000000000000000e+02,3.850000000000000000e+02,0.000000000000000000e+00,5.820766091346740723e-11,5.208333333333333044e-03,1.598564895969869983e-05,0.000000000000000000e+00,-8.153477892847149633e-13
5.569000000000000000e+03,1.851247199931178145e+00,1.031209158138914262e-04,1.930000000000000000e+02,3.850000000000000000e+02,0.000000000000000000e+00,5.820766091346740723e-11,5.208333333333333044e-03,1.669618206768374170e-05,0.000000000000000000e+00,-8.171241461241152138e-13
5.570000000000000000e+03,1.851144083930494011e+00,1.031160006837613768e-04,1.930000000000000000e+02,3.850000000000000000e+02,0.000000000000000000e+00,5.820766091346740723e-11,5.208333333333333044e-03,1.621335118291661480e-05,0.000000000000000000e+00,-8.175682353339652764e-13
5.571000000000000000e+03,1.851040972845404697e+00,1.031110850900425518e-04,1.930000000000000000e+02,3.850000000000000000e+02,0.000000000000000000e+00,5.820766091346740723e-11,5.208333333333333044e-03,1.696055134785134317e-05,0.000000000000000000e+00,-8.166800569142651511e-13
5.572000000000000000e+03,1.850937866676370280e+00,1.031061690366426732e-04,1.930000000000000000e+02,3.850000000000000000e+02,0.000000000000000000e+00,5.820766091346740723e-11,5.208333333333333044e-03,1.696808368399105947e-05,0.000000000000000000e+00,-8.144596108650148381e-13
5.573000000000000000e+03,1.850834765423843509e+00,1.031012525273668434e-04,1.930000000000000000e+02,3.850000000000000000e+02,0.000000000000000000e+00,5.820766091346740723e-11,5.208333333333333044e-03,1.706289562286872222e-05,0.000000000000000000e+00,-8.140155216551647754e-13
5.574000000000000000e+03,1.850731669088274911e+00,1.030963355659228307e-04,1.930000000000000000e+02,3.850000000000000000e+02,0.000000000000000000e+00,5.820766091346740723e-11,5.208333333333333044e-03,1.597131931453374791e-05,0.000000000000000000e+00,-8.166800569142651511e-13
5.575000000000000000e+03,1.850628577670117236e+00,1.030914181559253379e-04,1.930000000000000000e+02,3.850000000000000000e+02,0.000000000000000000e+00,5.820766091346740723e-11,5.208333333333333044e-03,1.632710720581463448e-05,0.000000000000000000e+00,-8.184564137536654016e-13
5.576000000000000000e+03,1.850525491169817682e+00,1.030865003008999873e-04,1.930000000000000000e+02,3.850000000000000000e+02,0.000000000000000000e+00,5.820766091346740723e-11,5.208333333333333044e-03,1.705524253194291539e-05,0.000000000000000000e+00,-8.171241461241152138e-13
