time_s,time_h,max_C,max_r_m,C_center,C_surface,mean_C,loss_cumulative,water_balance,interval_mean_C,interval_loss,steps,iterations,rejections,min_dt_s,max_dt_s,worst_scaled_residual,damped_iterations
150900.0,41.916666666666664,0.17222752369996475,0.0,0.17222752369996475,0.05487222522469378,0.14035961045322248,2.4096403895455403,-1.2372325386422744e-12,0.14035961045322248,2.3395970614063954e-05,1920.0,3840.0,0.0,0.03125,0.03125,0.012409488271512224,0.0
150960.0,41.93333333333333,0.1721947956962976,0.0,0.1721947956962976,0.054868356769302795,0.14033623306328502,2.409663766935475,-1.2398970739013748e-12,0.14033623306328502,2.337738993457308e-05,1920.0,3840.0,0.0,0.03125,0.03125,0.012385687598238968,0.0
151020.0,41.95,0.17216209468078236,0.0,0.17216209468078236,0.05486449334803506,0.1403128742298419,2.409687125768915,-1.2425616091604752e-12,0.1403128742298419,2.335883344048553e-05,1920.0,3840.0,0.0,0.03125,0.03125,0.01236195057549974,0.0
151080.0,41.96666666666667,0.1721294206173504,0.0,0.1721294206173504,0.054860634951896685,0.14028953392875046,2.409710466070004,-1.2452261444195756e-12,0.14028953392875046,2.334030108858627e-05,1920.0,3840.0,0.0,0.03125,0.03125,0.012338235465505507,0.0
151140.0,41.983333333333334,0.17209677346999025,0.0,0.17209677346999025,0.054856781571913794,0.140266212135912,2.4097337878628395,-1.248334768888526e-12,0.140266212135912,2.3321792835750474e-05,1920.0,3840.0,0.0,0.03125,0.03125,0.012314636755057916,0.0
151200.0,42.0,0.17206415320277135,0.0,0.17206415320277135,0.05485293319913314,0.1402429088272706,2.4097570911714783,-1.2509993041476264e-12,0.1402429088272706,2.3303308638954726e-05,1920.0,3840.0,0.0,0.03125,0.03125,0.012291006902714395,0.0
151260.0,42.016666666666666,0.1720315597798213,0.0,0.1720315597798213,0.054849089824620674,0.14021962397881246,2.4097803760199334,-1.2541079286165768e-12,0.14021962397881246,2.3284848455267977e-05,1920.0,3840.0,0.0,0.03125,0.03125,0.012267467483638815,0.0
151320.0,42.03333333333333,0.17199899316532247,0.0,0.17199899316532247,0.054845251439464414,0.14019635756656806,2.409803642432175,-1.2567724638756772e-12,0.14019635756656806,2.326641224186105e-05,1920.0,3840.0,0.0,0.03125,0.03125,0.012243945211974179,0.0
151380.0,42.05,0.171966453323543,0.0,0.171966453323543,0.05484141803477086,0.1401731095666091,2.409826890432131,-1.2598810883446276e-12,0.1401731095666091,2.3247999956000262e-05,1920.0,3840.0,0.0,0.03125,0.03125,0.012220500383544,0.0
151440.0,42.06666666666667,0.1719339402188043,0.0,0.1719339402188043,0.05483758960166706,0.14014987995505146,2.409850120043686,-1.262101534393878e-12,0.14014987995505146,2.3229611555046506e-05,1920.0,3840.0,0.0,0.03125,0.03125,0.012197111915727933,0.0
